['urlkey', 'timestamp', 'original', 'mimetype', 'statuscode', 'digest', 'length']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.24', '20200905201549', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.24&r=stable', 'application/x-javascript', '200', '3PPEMBFEIDPVIKIAT35XAIRFR43HZXTV', '132849']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.24', '20200906200638', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.24&r=stable', 'warc/revisit', '-', '3PPEMBFEIDPVIKIAT35XAIRFR43HZXTV', '1149']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.24', '20200907184316', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.24&r=stable', 'warc/revisit', '-', '3PPEMBFEIDPVIKIAT35XAIRFR43HZXTV', '1207']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.24', '20200908231046', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.24&r=stable', 'warc/revisit', '-', '3PPEMBFEIDPVIKIAT35XAIRFR43HZXTV', '1205']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.24', '20200910230522', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.24&r=stable', 'application/x-javascript', '200', 'W6MDD2V3VZCRLONN6MRQC2BAGCCHWELE', '132854']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.24', '20200911201818', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.24&r=stable', 'warc/revisit', '-', '3PPEMBFEIDPVIKIAT35XAIRFR43HZXTV', '1203']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.24', '20200912192646', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.24&r=stable', 'warc/revisit', '-', 'W6MDD2V3VZCRLONN6MRQC2BAGCCHWELE', '1206']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.24', '20200913190336', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.24&r=stable', 'warc/revisit', '-', '3PPEMBFEIDPVIKIAT35XAIRFR43HZXTV', '934']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.24', '20200914190241', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.24&r=stable', 'warc/revisit', '-', '3PPEMBFEIDPVIKIAT35XAIRFR43HZXTV', '932']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.24', '20200914190926', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.24&r=stable', 'warc/revisit', '-', '3PPEMBFEIDPVIKIAT35XAIRFR43HZXTV', '1143']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.24', '20200915203249', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.24&r=stable', 'warc/revisit', '-', '3PPEMBFEIDPVIKIAT35XAIRFR43HZXTV', '934']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.24', '20200916192042', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.24&r=stable', 'warc/revisit', '-', '3PPEMBFEIDPVIKIAT35XAIRFR43HZXTV', '1139']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.24', '20200917193513', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.24&r=stable', 'warc/revisit', '-', '3PPEMBFEIDPVIKIAT35XAIRFR43HZXTV', '1209']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.24', '20200918191016', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.24&r=stable', 'warc/revisit', '-', '3PPEMBFEIDPVIKIAT35XAIRFR43HZXTV', '1143']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.24', '20200919190707', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.24&r=stable', 'warc/revisit', '-', 'W6MDD2V3VZCRLONN6MRQC2BAGCCHWELE', '1207']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.24', '20200920205550', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.24&r=stable', 'warc/revisit', '-', 'W6MDD2V3VZCRLONN6MRQC2BAGCCHWELE', '1140']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.24', '20200922210632', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.24&r=stable', 'application/x-javascript', '200', 'EMALLTEQUZO4PKWRI3JCMRAN6S4MFIBZ', '132773']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.24', '20200923205810', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.24&r=stable', 'warc/revisit', '-', 'EMALLTEQUZO4PKWRI3JCMRAN6S4MFIBZ', '1204']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.24', '20200924191750', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.24&r=stable', 'warc/revisit', '-', 'EMALLTEQUZO4PKWRI3JCMRAN6S4MFIBZ', '934']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.24', '20200925190311', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.24&r=stable', 'application/x-javascript', '200', 'APNIFIFTJ5D2WMWT45DNJ3YJLLZNGYRE', '132815']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.24', '20200926215051', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.24&r=stable', 'warc/revisit', '-', 'EMALLTEQUZO4PKWRI3JCMRAN6S4MFIBZ', '1172']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.24', '20200927192841', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.24&r=stable', 'warc/revisit', '-', 'APNIFIFTJ5D2WMWT45DNJ3YJLLZNGYRE', '1175']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.24', '20200928204807', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.24&r=stable', 'warc/revisit', '-', 'EMALLTEQUZO4PKWRI3JCMRAN6S4MFIBZ', '1175']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.26', '20200929190453', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.26&r=stable', 'application/x-javascript', '200', 'T7KI7JHSQPHPDMMUFNBKCPP77MC6ARW3', '70027']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.26', '20200930185124', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.26&r=stable', 'application/x-javascript', '200', 'QOAISG2725ZRH5P6PA73P3HTDRF6ZG5E', '69940']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.27', '20201001201126', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.27&r=stable', 'application/x-javascript', '200', 'HVZ3J4BG3S6LYG7QUBNEGSQSJT74QWWG', '69991']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.27', '20201002192700', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.27&r=stable', 'warc/revisit', '-', 'HVZ3J4BG3S6LYG7QUBNEGSQSJT74QWWG', '1180']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.27', '20201003190754', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.27&r=stable', 'application/x-javascript', '200', 'HLQPY6EN6SHA5NBTJVV74SQC5KMHQYML', '70032']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.27', '20201004184818', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.27&r=stable', 'warc/revisit', '-', 'HVZ3J4BG3S6LYG7QUBNEGSQSJT74QWWG', '1178']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.27', '20201005202957', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.27&r=stable', 'warc/revisit', '-', 'HLQPY6EN6SHA5NBTJVV74SQC5KMHQYML', '1240']
['net,facebook,connect)/signals/config/1264059003707256?r=stable&v=2.9.27', '20201006200328', 'https://connect.facebook.net/signals/config/1264059003707256?v=2.9.27&r=stable', 'warc/revisit', '-', 'HVZ3J4BG3S6LYG7QUBNEGSQSJT74QWWG', '1240']
